283,1029,乂甜蜜寶貝乂	2000249,150350,43,9021,10006,90,92,1,0
566,1063,瘋兔	0,0,3,9004,0,250,100,0,1
284,1115,虎王	0,0,65,9108,0,250,100,0,1
567,1077,毒蘑菇	0,0,19,9013,0,250,100,0,1
285,1086,黃金蟲	2000431,151091,64,9104,0,150,89,0,0
568,1101,小巴風特	0,0,50,9024,0,250,100,0,1
286,1112,海盜之王	0,0,70,9107,0,250,100,0,1
569,1107,沙漠幼狼	0,0,9,9010,0,250,100,0,1
287,1159,皮里恩	0,0,69,9113,0,250,100,0,1
570,1109,小惡魔	0,0,46,9023,0,250,100,0,1
288,1059,蜂后	0,0,74,9103,0,150,98,0,1
571,1110,土人	0,0,33,9019,0,250,100,0,1
289,1159,皮里恩	0,0,69,9113,0,250,100,0,1
572,1113,土波利	0,0,3,9002,0,250,100,0,1
290,1200,艾斯恩魔女	0,0,63,9026,0,250,100,0,1
573,1155,畢帝特地龍	0,0,44,9022,0,250,100,0,1
291,1312,聖誕龜公公	0,0,97,9115,0,1000,93,1,1
574,1167,小野豬	0,0,7,9009,0,250,100,0,1
292,1275,愛麗絲女僕	2000385,150715,62,9027,0,250,82,0,0
575,1170,鬼女	0,0,33,9020,0,250,100,0,1
293,1389,德古拉男爵	0,0,85,9120,0,250,100,0,1
576,1188,妖道	0,0,32,9025,0,250,100,0,1
294,1039,＃︿＠！寵物	2000173,150192,81,9101,0,880,91,1,0
577,1275,愛麗絲	0,0,62,9027,0,250,100,0,1
295,1272,黑暗之王	0,0,80,9116,0,250,91,0,1
578,1200,艾斯恩魔女	0,0,63,9026,0,250,100,0,1
296,1251,冰暴騎士	0,0,77,9117,0,250,100,0,1
579,1109,小惡魔	0,0,46,9023,0,250,100,0,1
580,1188,妖道	0,0,32,9025,0,250,100,0,1
581,1167,小野豬	0,0,7,9009,0,250,100,0,1
299,1312,小Ｆａｔ龜	0,0,97,9115,0,250,97,1,1
582,1056,狸貓	0,0,18,9015,0,250,100,0,1
300,1272,黑暗之王	0,0,80,9116,0,880,84,0,1
583,1836,神管	0,0,99,9304,0,1000,100,0,1
301,1038,木乃萬歲	0,0,78,9100,0,250,93,1,1
584,1057,溜溜猴	0,0,19,9016,0,250,100,0,1
302,1844,神行太保	2000658,151090,99,9312,0,1000,86,0,0
585,1110,土人	0,0,33,9019,0,250,100,0,1
586,1275,愛麗絲	0,0,62,9027,0,250,100,0,1
304,1789,小呆 (我不是寵物= =)	2000156,150343,99,9257,0,1000,91,1,0
587,1837,超魔導士	0,0,99,9305,0,1000,100,0,1
305,1002,波利	0,0,1,9001,0,250,100,0,1
306,1035,赤蒼蠅	0,0,42,9008,0,250,100,0,1
589,1167,小野豬	0,0,7,9009,0,250,100,0,1
307,1056,貍貓	0,0,18,9015,0,250,100,0,1
590,1057,溜溜猴	0,0,19,9016,0,250,100,0,1
591,1056,狸貓	0,0,18,9015,0,250,100,0,1
592,1167,＊粉紅∮噗噗豬＊	0,0,7,9009,10015,1000,100,1,1
593,1057,溜溜猴	0,0,19,9016,0,250,100,0,1
594,1312,烏龜將軍	0,0,97,9115,0,130,57,0,1
596,1159,皮裡恩	0,0,69,9113,0,250,100,0,1
597,1793,神工匠	0,0,99,9261,0,1000,100,0,1
599,1582,惡魔波利	0,0,31,9121,0,920,70,0,1
600,1275,愛麗絲	0,0,62,9027,0,250,100,0,1
601,1200,艾斯恩魔女	0,0,63,9026,0,250,100,0,1
602,1389,德古拉男爵	0,0,85,9120,0,250,100,0,1
603,1039,巴風特	0,0,81,9101,0,250,100,0,1
604,1388,聖天使波利	0,0,60,9119,0,980,85,0,1
605,1167,小野豬	0,0,7,9009,0,250,100,0,1
606,1167,小野豬	0,0,7,9009,0,250,100,0,1
324,1057,溜溜猴	0,0,19,9016,0,250,100,0,1
607,1167,小野豬	0,0,7,9009,0,250,100,0,1
325,1042,綠蒼蠅	0,0,17,9007,0,250,100,0,1
608,1096,～＊笨熊熊＊～	2000515,150841,20,9106,0,860,76,1,0
609,1167,小野豬	0,0,7,9009,0,250,100,0,1
610,1167,小野豬	0,0,7,9009,0,250,100,0,1
611,1167,小野豬	0,0,7,9009,0,250,100,0,1
612,1101,小巴風特	0,0,50,9024,0,250,100,0,1
613,1101,小巴風特	0,0,50,9024,0,250,100,0,1
614,1101,小巴風特	0,0,50,9024,0,250,100,0,1
615,1101,小巴風特	0,0,50,9024,0,250,100,0,1
333,1167,小野豬	2000587,150955,7,9009,10015,150,80,0,0
616,1101,小巴風特	0,0,50,9024,0,250,100,0,1
617,1101,小巴風特	0,0,50,9024,0,250,100,0,1
335,1031,波波利	0,0,14,9003,0,250,100,0,1
618,1101,小巴風特	0,0,50,9024,0,250,100,0,1
619,1101,小巴風特	0,0,50,9024,0,250,100,0,1
620,1101,小巴風特	0,0,50,9024,0,250,100,0,1
621,1167,小野豬	0,0,7,9009,0,250,100,0,1
622,1167,小野豬	2001064,151781,7,9009,10015,210,73,0,0
623,1002,波利	0,0,1,9001,0,250,100,0,1
