566,6005,麗芙	2000157,150182	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
849,6005,麗芙	2001014,151687	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
850,6001,麗芙	2001014,151687	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
851,6004,巴尼米樂斯	2001014,151687	1,0,150,150,11,11	11,11,11,11,11,11	0,0	0,2000,50,0,0		
852,6005,麗芙	2000954,151688	1,0,150,0,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0	8001,0 	
853,6004,巴尼米樂斯	2000766,151680	99,-725199676,8406,0,343,343	137,107,110,113,122,56	0,18	0,1900,96,0,0	8013,5 8014,5 8015,5 	
571,6007,飛里樂	2000157,150182	1,0,90,90,25,25	29,35,9,8,30,10	0,0	0,2000,50,0,0		
572,6007,飛里樂	2000157,150182	1,0,90,90,25,25	29,35,9,8,30,10	0,0	0,2000,50,0,0		
855,6004,巴尼米樂斯	2001030,151720	1,0,150,150,11,11	11,11,11,11,11,11	0,0	0,2000,50,0,0	8013,0 	
573,6005,麗芙	2000157,150182	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
574,6006,艾咪斯可魯	2000157,150182	1,0,320,320,10,10	22,17,35,11,23,16	0,0	0,2000,50,0,0		
575,6004,巴尼米樂斯	2000157,150182	1,0,150,150,11,11	11,11,11,11,11,11	0,0	0,2000,50,0,0		
576,6007,飛里樂	2000157,150182	1,0,90,90,25,25	29,35,9,8,30,10	0,0	0,2000,50,0,0		
577,6004,巴尼米樂斯	2000157,150182	1,0,150,150,11,11	11,11,11,11,11,11	0,0	0,2000,50,0,0		
298,6011,飛里樂	2000010,150011	1,0,90,0,25,25	29,35,9,8,30,10	0,0	0,2000,49,0,0	8009,0 	
582,6001,麗芙	2000201,150231	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
866,6009,麗芙	2001058,151773	85,0,5969,619,590,5969	66,88,80,84,85,51	0,10	0,2150,94,0,1	8001,5 8002,5 8003,5 8004,3 	
301,6013,麗芙	2000063,150077	99,40000000,7474,7474,632,632	80,94,99,104,99,52	0,23	0,2100,84,0,1	8001,5 8002,5 8003,0 	
302,6008,巴尼米樂斯	2000345,150516	1,0,150,150,11,11	11,11,11,11,11,11	0,0	0,2000,40,0,1	8013,0 	
586,6003,飛里樂	2000201,150231	1,0,90,90,25,25	29,35,9,8,30,10	0,0	0,2000,50,0,0		
303,6004,巴尼米樂斯	2000116,150587	2,55,285,0,15,15	13,13,13,12,13,11	0,0	0,2000,37,0,0	8013,0 	
304,6012,巴尼米樂斯	2000025,150181	2,55,271,0,14,14	12,11,11,12,12,11	0,0	0,2000,50,0,0	8013,0 	
305,6003,飛里樂	2000158,150596	1,0,90,0,25,25	29,35,9,8,30,10	0,0	0,2000,50,0,0	8009,0 	
871,6015,飛里樂	2000187,150943	4,0,250,250,37,37	33,38,9,11,30,10	0,1	0,2000,49,0,1		
306,6005,麗芙	2000158,150596	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
307,6009,可愛ㄉ麗芙	2000286,150419	81,2355865,6376,0,599,628	67,79,78,98,90,52	0,9	0,2180,88,1,0	8001,5 8002,5 8003,5 8004,3 	
591,6003,飛里樂	2000201,150231	1,0,90,90,25,25	29,35,9,8,30,10	0,0	0,2000,50,0,0		
875,6002,艾咪斯可魯	2000937,151557	2,55,469,0,11,11	23,17,35,11,24,16	0,0	0,2000,46,0,0	8005,0 	
876,6007,飛里樂	2000987,151629	2,55,138,138,29,29	30,36,10,9,31,10	0,0	0,2000,44,1,1	8009,0 	
881,6004,☆果凍★	2001122,151895	1,0,150,0,11,11	11,11,11,11,11,11	0,0	0,2000,44,1,0	8013,0 	
607,6011,飛里樂	2000571,150937	99,-965863934,5780,0,418,314	100,131,14,78,85,46	0,15	0,2480,33,1,0	8009,5 8010,5 8011,5 8012,3 	
617,6006,艾咪斯可魯	2000043,150055	1,0,320,320,10,10	22,17,35,11,23,16	0,0	0,2000,50,0,0		
621,6003,飛里樂	2000756,151254	1,0,90,90,25,25	29,35,9,8,30,10	0,0	0,2000,50,0,0		
622,6002,艾咪斯可魯	2000756,151254	1,0,320,320,10,10	22,17,35,11,23,16	0,0	0,2000,50,0,0		
624,6005,麗芙	2000756,151254	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
626,6002,艾咪斯可魯	2000756,151254	1,0,320,320,10,10	22,17,35,11,23,16	0,0	0,2000,50,0,0		
627,6006,艾咪斯可魯	2000756,151254	1,0,320,320,10,10	22,17,35,11,23,16	0,0	0,2000,50,0,0		
628,6008,巴尼米樂斯	2000756,151254	1,0,150,150,11,11	11,11,11,11,11,11	0,0	0,2000,50,0,0		
348,6010,艾咪斯可魯	2000286,150486	99,60000000,11393,12532,221,221	107,80,94,15,93,66	0,15	0,2000,30,0,1	8005,5 8006,5 8007,5 8008,3 	
639,6005,麗芙	2000756,151254	1,0,150,150,40,40	17,20,15,35,24,15	0,0	0,2000,50,0,0		
640,6004,巴尼米樂斯	2000756,151254	1,0,150,150,11,11	11,11,11,11,11,11	0,0	0,2000,50,0,0		
