// mob_branch.txt的MVPBOSS版
// MobID, MobName(Dummy), Rate
// 怪物 ID, 怪物名稱(Dummy), 準確率(*10000)	[500000=50% / 1000000=100%]
// 怪物 ID 0 時確認為當怪物選擇失敗時召還的怪物 ID
// 若寫入未實裝的怪物會造成錯誤
// 注意若怪物出理在登入口附近可能會造成不能進出的情況

0,巴風特,1039
1038,俄塞里斯,1000000
1039,巴風特,1000000
1046,死靈,1000000
1059,蜂后,1000000
1086,黃金蟲,1000000
1087,獸人英雄,1000000
1112,海盜之王,1000000
1115,虎王,1000000
1147,蟻后,1000000
1150,月夜貓,1000000
1157,法老王,1000000
1159,皮里恩,1000000
1190,獸人酋長,1000000
1251,冰暴騎士,1000000
1252,卡侖,1000000
1272,黑暗之王,1000000
1312,烏龜將軍,1000000
1373,死靈騎士,1000000
//1389,德古拉男爵,1000000
1399,巴風特,1000000
1418,墨蛇君,1000000
1492,元靈武士,1000000
1511,阿門拉,1000000
//1518,白素真,1000000
1583,塔奧群卡,1000000
1623,RSX-0806,1000000
1630,Bacsojin,1000000
1646,闇●騎士領主 賽依連,1000000
1647,闇●十字刺客 艾勒梅斯,1000000
1648,闇●神工匠 哈沃得,1000000
1649,闇●神官 馬嘉雷特,1000000
1650,闇●神射手 迪文,1000000
1651,闇●超魔導師 凱特莉娜,1000000
1685,貝思波,1000000
1850,血牛,1000000
//1688,嗒妮小姐,1000000
//1708,"魔劍士 達納托斯的記憶",1000000
//1719,迪塔勒泰晤勒斯,1000000
//1734,Kiel,1000000
//1751,Randgris,1000000
