// id, 怪物外觀替換 ID 指定 (0 無效)
// 1001￣2000的怪物指定時該怪物出現時會顯示該指定 CG。
// 這樣便可增加相同外觀但屬性種類不同的怪物。
// ID 1￣ (PC) 以 46￣ 的外觀顯示
// 要注意不要設定那些不會攻擊的怪物喔!
// 
//1002,1039	//(例)波利變巴風特
//
// PC角色製作方法
// MOB-ID,畫像ID,性別(0=female,1=male),髮型,髮色,武器,盾,上段頭裝備,中段頭裝備,下段頭裝備,option,trans
//
// 畫像ID
//    0:初學者        7:騎士              14:十字軍
//    1:劍士          8:牧師              15:武僧
//    2:法師          9:魔法師            16:賢者
//    3:弓箭手        10:鐵匠             17:流氓
//    4:服事          11:獵人             18:鍊金術師
//    5:商人          12:刺客             19:詩人
//    6:盜賊          20:舞者             22.結婚造型
//    23.超級初心者
// option
//    1:火狩                 2:隱暱                4:隱身
//    8:手推車(１)          16:鷹                  32:騎鳥
//   64:消りペ？           128:手推車（２）       256:手推車（３）
//  512:手推車（４）      1024:手推車（５）      2048:變成獸人面孔
// 4096:結婚              8192:光獵           16384:足跡
//
// trans
//    0:無             1:轉生           2:養子
//

//生物調撥mob 暫定實裝
//1589,1020
//1579,1068
//1575,1118
//1555,1500
//1590,1368
1900,1272
1901,1046
1902,1159
1903,1039
1904,1149
1905,1149
1906,1149
1907,1149
1908,1149
1909,1149
1830,1083
1850,1310
// eAthena使用的裝備魔物
1970,1002,10013
1971,1011,10002
1972,1014,10017
1973,1019,10010
1974,1023,10009
1975,1026,10008
1976,1029,10006
1977,1031,10013
1978,1035,10002
1979,1042,10002
1980,1049,10012
1981,1052,10014
1982,1056,10019
1983,1057,10018
1984,1058,10014
1985,1063,10007
1986,1077,10017
1987,1101,10001
1988,1107,10003
1989,1109,10004
1990,1110,10005
1991,1113,10013
1992,1155,10011
1993,1167,10015
1994,1170,10016
1995,1188,10020

//-=-=-=男=-=-=-
1782,23,1,8,2,1218,1,14,16,0,0,0 // 超初
1789,7,1,15,3,1222,2101,87,90,8,32,1 //騎領(鳥)
1790,7,1,14,2,1161,3,87,90,53,0,1 //騎領(no鳥)
1791,8,1,5,1,1551,0,14,90,0,0,1 //神管
1792,9,1,18,8,1473,0,14,17,0,0,1 //超魔
1793,10,1,17,7,1365,2,67,90,0,1024,1 //神工
1794,11,1,16,6,1718,0,72,83,0,16,1 //神射
1795,12,1,15,5,1255,0,14,90,52,0,1 //十刺
1796,14,1,8,4,1468,4,10,90,53,0,1 //十字(鳥)
1797,15,1,5,3,1812,0,42,17,57,0,1 //武宗
1798,16,1,18,2,1552,0,46,17,0,0,1 //智者
1799,17,1,15,1,1240,2,10,90,52,0,1 //神行
1800,18,1,17,8,1365,2,67,90,0,1024,1 //造物
1801,19,1,16,7,1913,0,37,17,0,0,1 //詩人
1802,20,0,18,6,1963,0,46,17,0,0,1 //舞技
1803,21,1,8,5,0,0,0,0,10,90,1 //十字(no鳥)
1804,24,1,21,4,1222,0,180,90,0,0,0 //槍手
1805,25,1,22,3,1222,0,10,90,0,0,0 //忍者
1806,22,1,23,2,1222,0,14,90,0,0,0 //結婚
//-=-=-=女=-=-=-
1827,23,0,18,2,1218,1,87,16,0,0,0 // 超初
1834,7,0,11,3,1222,2102,87,17,8,32,1 //騎領(鳥)
1835,7,0,10,2,1161,3,87,17,53,0,1 //騎領(no鳥)
1836,8,0,9,1,1551,0,10,90,0,0,1 //神管
1837,9,0,8,8,1473,0,14,17,0,0,1 //超魔
1838,10,0,7,7,1365,2,14,90,0,1024,1 //神工匠
1839,11,0,6,6,1718,0,14,17,0,16,1 //神射
1840,12,0,5,5,1255,0,10,90,52,0,1 //十刺
1841,14,0,4,4,1468,4,67,90,53,32,1 //十字(鳥)
1842,15,0,3,3,1812,0,180,17,0,0,1 //武宗
1843,16,0,2,2,1552,0,14,17,0,0,1 //智者
1844,17,0,1,1,1240,2,14,90,52,0,1 //神行
1845,18,0,20,8,1365,2,37,17,0,1024,1 //造物
1846,21,0,17,5,0,0,67,90,0,0,1 //十字(no鳥)
1847,24,0,16,4,1222,43,17,0,0,0,0 //槍手
1848,25,0,15,3,1222,46,90,0,0,0,0 //忍者
1849,22,0,14,2,1222,0,10,90,0,0,0 //結婚
