// 枯樹枝召喚怪物設定
// MobID, MobName(Dummy), Rate
// 怪物 ID, 怪物名稱(Dummy), 準確率(*20000)。500000為50% 50000為100%。
// 怪物 ID 0 時確認為當怪物選擇失敗時召還的怪物 ID
// 若寫入未實裝的怪物會造成錯誤
// 注意若怪物出理在登入口附近可能會造成不能進出的情況

0,波利,1002
1001,蠍子,50000
1002,波利,50000
//1003,TEST用卵,50000
1004,蜂兵,50000
1005,吸血蝙蝠,50000
//1006,盜蟲,50000
1007,綠棉蟲,50000
1008,蟲蛹,50000
1009,禿鷹,50000
1010,樹精,50000
1011,蒼蠅,50000
1012,羅達蛙,50000
1013,狼,50000
1014,魔菇,50000
1015,腐屍,50000
1016,邪骸弓箭手,50000
//1017,盜蟲,50000
1018,克瑞米,50000
1019,大嘴鳥,50000
1020,曼陀羅魔花,50000
//1021,瑪勒盜蟲,50000
//1022,野狼之王,50000
1023,獸人戰士,50000
1024,森靈,50000
1025,青蛇,50000
1026,殭屍,50000
//1027,RAPTICE,50000
1028,邪骸士兵,50000
1029,蛇女伊絲,50000
1030,毒蛇,50000
1031,波波利,50000
1032,木乃伊犬,50000
1033,長老樹精,50000
1034,達拉蛙,50000
1035,赤蒼蠅,50000
1036,綠腐屍,50000
1037,黑蛇,50000
//1038,俄塞里斯,50000
//1039,巴風特,50000
1040,巨石怪,50000
1041,木乃伊,50000
1042,綠蒼蠅,50000
1044,人魚,50000
1045,馬克,50000
//1046,死靈,50000
1047,大嘴鳥蛋,50000
1048,盜蟲卵,50000
1049,小雞,50000
1050,蛋殼小雞,50000
1051,盜蟲,50000
1052,蝗蟲,50000
1053,浮勒盜蟲,50000
1054,瑪勒盜蟲,50000
1055,摩卡,50000
1056,貍貓,50000
1057,溜溜猴,50000
1058,重金屬蝗蟲,50000
//1059,蜂后,50000
1060,大腳熊,50000
1061,夢魘,50000
1062,聖誕波利,50000
1063,瘋兔,50000
1064,邪骸食人魚,50000
1065,海神,50000
1066,螃蟹,50000
1067,卡那多斯,50000
1068,海葵,50000
1069,異變魚,50000
1070,庫克雷,50000
1071,邪骸海盜,50000
1072,卡浩,50000
1073,卡拉蟹,50000
1074,貝殼魔靈,50000
//1075,海龜,50000
1076,邪骸戰士,50000
1077,毒魔菇,50000
1078,紅草,50000
1079,藍草,50000
1080,綠草,50000
1081,黃草,50000
1082,白草,50000
1083,光芒草,50000
1084,黑菇,50000
1085,紅菇,50000
//1086,黃金蟲,100
//1087,獸人英雄,100
1088,搖滾蝗蟲,20000
1089,蛙王,20000
1090,波利之王,20000
1091,綠龍蠅,20000
1092,流浪之狼,20000
1093,瘋兔之王,20000
1094,蝸牛,50000
1095,白蟻,50000
1096,天使波利,20000
1097,白蟻幼蟲,50000
//1098,安畢斯,50000
1099,艾吉歐蜈蚣,50000
1100,艾絲蜘蛛,50000
1101,小巴風特,50000
1102,巫婆,50000
1103,刺蝟蟲,50000
1104,松鼠,50000
1105,兵蟻,50000
